-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.018,  0.115
-183.800, 80.200, -0.000,  0.148
-183.800, 80.199, -0.004,  0.181
-183.800, 80.198, -0.005,  0.214
-183.800, 80.198, -0.005,  0.247
-183.800, 80.197, -0.003,  0.280
-183.800, 80.196, -0.000,  0.313
-183.800, 80.195, 0.004,  0.346
-183.800, 80.194, 0.010,  0.379
-183.800, 80.193, 0.019,  0.412
-183.799, 80.190, 0.080,  0.445
-183.799, 80.187, 0.118,  0.478
-183.799, 80.183, 0.150,  0.511
-183.798, 80.177, 0.184,  0.544
-183.798, 80.171, 0.163,  0.577
-183.797, 80.165, 0.191,  0.610
-183.796, 80.156, 0.246,  0.643
-183.795, 80.147, 0.271,  0.676
-183.794, 80.137, 0.281,  0.709
-183.793, 80.128, 0.324,  0.742
-183.792, 80.116, 0.320,  0.775
-183.790, 80.104, 0.394,  0.808
-183.789, 80.089, 0.450,  0.841
-183.787, 80.073, 0.456,  0.874
-183.786, 80.059, 0.454,  0.907
-183.784, 80.044, 0.472,  0.940
-183.782, 80.028, 0.473,  0.973
-183.781, 80.013, 0.470,  1.006
-183.779, 79.997, 0.480,  1.039
-183.777, 79.981, 0.478,  1.072
-183.775, 79.964, 0.484,  1.105
-183.773, 79.947, 0.528,  1.138
-183.771, 79.927, 0.594,  1.171
-183.769, 79.907, 0.587,  1.204
-183.767, 79.887, 0.579,  1.237
-183.764, 79.867, 0.614,  1.270
-183.762, 79.846, 0.621,  1.303
-183.759, 79.826, 0.619,  1.336
-183.757, 79.805, 0.632,  1.369
-183.754, 79.784, 0.624,  1.402
-183.752, 79.763, 0.646,  1.435
-183.749, 79.742, 0.662,  1.468
-183.746, 79.720, 0.675,  1.501
-183.744, 79.698, 0.685,  1.534
-183.741, 79.675, 0.698,  1.567
-183.738, 79.652, 0.708,  1.600
-183.735, 79.629, 0.734,  1.633
-183.732, 79.604, 0.747,  1.666
-183.729, 79.580, 0.754,  1.699
-183.726, 79.555, 0.772,  1.732
